longitude,latitude,date_death,days
5.471264,49.653,28/01/2019,174
5.52581,49.59806,24/12/2018,139
5.461361,49.639074,29/01/2019,175
5.45462,49.63817,29/01/2019,175
5.45081,49.63512,30/01/2019,176
5.46082,49.63893,29/01/2019,175
5.460469,49.638888,29/01/2019,175
5.451747,49.638794,31/01/2019,177
5.451124,49.638117,29/01/2019,175
5.45071,49.63932,29/01/2019,175
5.452254,49.639184,29/01/2019,175
5.45132,49.63893,31/01/2019,177
5.7457,49.6465,13/01/2019,159
5.7437,49.6473,30/01/2019,176
5.743863,49.646956,31/01/2019,177
5.7457,49.6467,24/12/2018,139
5.743662,49.648156,23/12/2018,138
5.7445,49.6481,30/01/2019,176
5.7446,49.6483,30/01/2019,176
5.7441,49.6479,30/01/2019,176
5.75342,49.68131,30/01/2019,176
5.42892,49.65249,30/01/2019,176
5.42974,49.65294,30/01/2019,176
5.42669,49.65449,30/01/2019,176
5.42773,49.65465,31/01/2019,177
5.45659,49.65484,22/01/2019,168
5.42823,49.65438,01/02/2019,178
5.44518,49.66024,29/01/2019,175
5.50421,49.70541,13/02/2019,190
5.508085,49.718442,10/02/2019,187
5.46405,49.68639,31/01/2019,177
5.491925,49.605046,31/01/2019,177
5.4902,49.60664,31/01/2019,177
5.49222,49.60497,31/01/2019,177
5.48925,49.6066,31/01/2019,177
5.49223,49.60525,31/01/2019,177
5.4906,49.61134,31/01/2019,177
5.502286,49.71916,17/02/2019,194
5.551695,49.605589,18/01/2019,164
5.556644,49.612369,30/01/2019,176
5.54339,49.59625,29/01/2019,175
5.50505,49.63654,30/01/2019,176
5.543583,49.596257,22/01/2019,168
5.533823,49.585341,02/02/2019,179
5.602975,49.568126,06/02/2019,183
5.431648,49.649572,15/02/2019,192
5.502984,49.622187,12/01/2019,158
5.496038,49.622941,17/01/2019,163
5.49494,49.622793,12/01/2019,158
5.461182,49.64451,04/02/2019,181
5.46693,49.64733,17/01/2019,163
5.461439,49.644733,28/01/2019,174
5.49563,49.622638,30/01/2019,176
5.495631,49.62262,04/02/2019,181
5.43916,49.65425,05/02/2019,182
5.43993,49.6543,05/02/2019,182
5.438338,49.65505,01/02/2019,178
5.425384,49.65798,01/02/2019,178
5.43851,49.6553,01/02/2019,178
5.425835,49.65807,01/02/2019,178
5.488801,49.624868,04/02/2019,181
5.42553,49.65807,01/02/2019,178
5.461703,49.644608,04/02/2019,181
5.46146,49.64458,04/02/2019,181
5.492528,49.624401,06/02/2019,183
5.489535,49.623861,04/02/2019,181
5.490883,49.620188,28/01/2019,174
5.490096,49.624057,04/02/2019,181
5.493674,49.613369,05/02/2019,182
5.43739,49.65187,05/02/2019,182
5.43404,49.65003,05/02/2019,182
5.43308,49.64937,05/02/2019,182
5.487903,49.608851,05/02/2019,182
5.488248,49.609764,05/02/2019,182
5.488721,49.609032,04/02/2019,181
5.489058,49.609253,05/02/2019,182
5.468553,49.602386,05/02/2019,182
5.468564,49.617214,05/02/2019,182
5.47902,49.61324,05/02/2019,182
5.488375,49.609665,05/02/2019,182
5.488619,49.60903,17/01/2019,163
5.488154,49.608349,28/01/2019,174
5.63888,49.61362,19/01/2019,165
5.80719,49.61043,06/02/2019,183
5.462432,49.61293,06/02/2019,183
5.52471,49.60394,05/02/2019,182
5.462965,49.612819,06/02/2019,183
5.43543,49.65278,02/02/2019,179
5.43563,49.652725,02/02/2019,179
5.42431,49.65736,01/02/2019,178
5.43687,49.65506,30/01/2019,176
5.43102,49.65438,31/01/2019,177
5.43269,49.65016,06/02/2019,183
5.43133,49.65046,06/02/2019,183
5.605882,49.64243,31/12/2018,146
5.60539,49.639251,31/12/2018,146
5.6071,49.64228,31/12/2018,146
